 Flowfield data for bluff-body stabilised turbulent non-reacting flows
 Burner bluff-body diameter, D_b=50mm, (R_b=25mm), jet diameter=3.6mm

 Flow code: B4C1, Jet gas: Air,  Coflow = 20m/s, 
 Case A : Bulk Jet Velocity: 61 m/s

 Data set 2: 1 December 1999 (Total:three data sets)								
0.2	0.4	-3.69	-0.50	2.54	1.68	0.25	1501	3%
0.2	0.48	-3.32	-0.98	2.62	1.69	-0.01	1463	3%
0.2	0.56	-2.74	-1.29	2.72	1.76	-0.09	1414	3%
0.2	0.64	-1.85	-1.44	2.75	1.70	-0.41	1484	3%
0.2	0.72	-0.99	-1.43	2.70	1.76	-1.09	1516	3%
0.2	0.8	0.07	-1.26	2.53	1.65	-1.27	1490	3%
0.2	0.88	0.99	-0.81	2.35	1.63	-1.22	1737	2%
0.2	0.92	2.25	-0.22	2.31	1.83	-1.49	1693	2%
0.2	0.96	5.30	0.32	2.73	2.18	-2.87	1528	3%
0.2	1	9.95	0.77	3.46	2.42	-5.07	1043	3%
0.2	1.04	14.98	0.85	2.83	2.00	-4.85	383	5%
0.2	1.12	17.61	1.06	1.41	1.21	-0.47	362	5%
0.2	1.2	19.71	1.05	1.52	1.16	-0.02	263	6%
0.4	0	65.61	0.16	10.92	6.83	1.73	68	12%
0.4	0.02	60.85	-0.56	12.48	6.95	10.13	80	11%
0.4	0.04	52.75	-1.29	13.50	7.22	45.85	81	11%
0.4	0.06	42.69	-2.01	13.03	7.30	21.34	99	10%
0.4	0.08	32.55	-1.98	12.75	7.56	51.72	85	11%
0.4	0.12	16.77	-1.92	10.03	6.68	41.46	349	5%
0.4	0.16	7.34	-1.33	8.30	5.42	16.60	748	4%
0.4	0.2	-0.01	-0.01	6.35	4.18	6.88	1240	3%
0.4	0.24	-3.85	0.25	4.17	2.99	3.02	1343	3%
0.4	0.32	-5.55	0.09	3.00	2.31	1.63	1380	3%
0.4	0.4	-5.81	-0.54	2.70	2.21	0.31	1281	3%
0.4	0.48	-5.40	-0.96	2.77	2.28	-1.15	1290	3%
0.4	0.56	-4.57	-1.28	2.97	2.28	-2.32	1239	3%
0.4	0.64	-3.07	-1.31	3.35	2.49	-3.27	1356	3%
0.4	0.72	-1.15	-1.22	3.35	2.39	-3.53	1451	3%
0.4	0.8	1.62	-0.49	2.99	2.36	-3.67	1402	3%
0.4	0.88	4.65	0.25	2.77	2.38	-2.94	1307	3%
0.4	0.92	7.27	0.81	2.99	2.56	-4.17	1168	3%
0.4	0.96	10.05	1.06	3.13	2.52	-5.26	598	4%
0.4	1	13.03	1.18	3.05	2.33	-8.21	332	5%
0.4	1.04	16.16	1.88	2.22	1.78	-3.46	415	5%
0.4	1.12	19.21	2.13	1.33	1.19	-0.72	213	7%
0.4	1.2	19.68	1.70	1.09	1.00	-0.09	612	4%
0.6	0	47.10	-0.39	11.25	7.76	-4.35	83	11%
0.6	0.02	45.13	-1.54	11.50	7.55	8.34	77	11%
0.6	0.04	42.38	-1.92	11.79	7.50	18.01	85	11%
0.6	0.06	38.22	-2.21	11.91	7.56	38.68	65	12%
0.6	0.08	32.19	-2.36	11.79	7.67	40.17	99	10%
0.6	0.12	21.03	-2.78	10.80	7.28	54.79	211	7%
0.6	0.16	12.85	-2.42	9.54	6.64	36.46	387	5%
0.6	0.2	6.98	-2.41	8.66	6.02	17.84	608	4%
0.6	0.24	2.37	-1.96	7.94	5.17	11.05	965	3%
0.6	0.32	-4.83	-1.02	4.97	3.84	5.85	1183	3%
0.6	0.4	-6.67	-0.75	3.34	3.22	1.86	1160	3%
0.6	0.48	-6.51	-0.48	2.98	3.00	-1.99	1143	3%
0.6	0.56	-5.09	0.02	3.37	2.89	-3.67	1312	3%
0.6	0.64	-2.22	0.75	3.88	2.92	-5.04	1413	3%
0.6	0.72	1.80	1.44	3.86	2.95	-5.28	1339	3%
0.6	0.8	6.17	2.53	3.34	2.86	-5.02	1252	3%
0.6	0.88	10.25	3.15	3.03	2.54	-4.91	1068	3%
0.6	0.92	11.99	3.11	3.07	2.47	-5.56	803	4%
0.6	0.96	14.76	3.54	2.67	1.99	-4.78	471	5%
0.6	1	16.42	3.60	2.19	1.76	-2.24	656	4%
0.6	1.04	18.14	3.61	1.32	1.16	-0.81	466	5%
0.6	1.12	19.14	3.14	1.05	0.92	-0.15	307	6%
0.6	1.2	19.75	2.85	0.97	0.86	-0.15	586	4%
0.8	0	35.38	-0.51	10.43	7.05	2.40	90	11%
0.8	0.02	34.13	-1.54	10.46	6.99	13.81	87	11%
0.8	0.04	32.41	-2.02	10.71	7.00	12.70	89	11%
0.8	0.06	29.78	-2.46	10.62	7.01	38.51	117	9%
0.8	0.08	26.56	-2.89	10.55	6.95	42.77	125	9%
0.8	0.12	19.81	-3.34	10.04	7.00	41.49	249	6%
0.8	0.16	14.71	-3.30	9.53	6.74	43.41	390	5%
0.8	0.2	10.24	-2.98	8.89	6.68	26.45	591	4%
0.8	0.24	6.53	-3.43	8.21	6.02	16.42	777	4%
0.8	0.32	-1.28	-1.82	6.14	5.14	7.50	1094	3%
0.8	0.4	-4.11	-0.43	4.04	4.47	1.70	1246	3%
0.8	0.48	-3.45	1.11	3.54	3.97	-4.31	1311	3%
0.8	0.56	-0.75	2.63	4.01	3.40	-6.07	1232	3%
0.8	0.64	3.83	3.96	3.63	2.74	-5.30	1457	3%
0.8	0.72	7.54	4.47	3.15	2.63	-4.95	1087	3%
0.8	0.8	10.46	4.52	3.00	2.29	-5.36	896	3%
0.8	0.88	14.05	4.63	2.31	1.81	-2.79	653	4%
0.8	0.92	15.61	4.47	1.85	1.42	-1.79	493	5%
0.8	0.96	16.69	4.29	1.53	1.32	-1.69	303	6%
0.8	1	17.40	4.16	1.21	1.14	-1.71	215	7%
0.8	1.04	18.01	3.97	0.99	0.88	-0.25	187	7%
0.8	1.12	18.73	3.60	0.84	0.76	-0.10	137	9%
0.8	1.2	19.23	3.18	0.81	0.71	-0.02	473	5%
1	0	24.07	-0.21	9.19	6.32	1.20	103	10%
1	0.02	23.91	-0.98	9.19	6.72	-0.86	117	9%
1	0.04	23.31	-1.08	9.26	6.41	3.88	130	9%
1	0.06	22.48	-1.69	9.15	6.52	16.46	153	8%
1	0.08	21.33	-2.10	8.98	6.44	19.25	136	9%
1	0.12	18.18	-2.93	8.72	6.37	34.51	198	7%
1	0.16	15.29	-2.96	8.46	6.23	28.99	347	5%
1	0.2	12.01	-3.26	7.71	6.27	28.61	417	5%
1	0.24	9.07	-3.11	7.44	5.96	19.57	590	4%
1	0.32	4.10	-2.39	5.89	5.33	7.80	1040	3%
1	0.4	1.38	-0.38	4.11	4.96	0.90	1268	3%
1	0.48	2.12	2.02	3.47	4.22	-4.22	1193	3%
1	0.56	5.52	4.20	3.34	2.95	-5.85	1304	3%
1	0.64	7.95	4.46	3.12	2.55	-5.15	1216	3%
1	0.72	10.85	4.49	2.72	2.14	-5.06	778	4%
1	0.8	13.09	4.22	2.38	1.84	-5.49	492	5%
1	0.88	15.39	3.93	1.87	1.55	-5.31	148	8%
1	0.92	16.39	3.85	1.23	0.92	-0.73	326	6%
1	0.96	16.72	3.65	1.39	0.96	-1.03	582	4%
1	1	17.34	3.52	0.90	0.82	-0.53	353	5%
1	1.04	17.77	3.40	0.80	0.72	-0.11	510	4%
1	1.12	18.56	3.13	0.76	0.69	-0.03	172	8%
1	1.2	19.06	2.89	0.75	0.65	-0.07	249	6%
1.2	0	17.79	-0.22	7.07	5.38	-0.71	243	6%
1.2	0.02	17.63	-0.81	7.09	5.63	0.14	249	6%
1.2	0.04	17.23	-1.28	7.09	5.45	5.47	224	7%
1.2	0.06	17.02	-1.47	6.88	5.47	13.10	192	7%
1.2	0.08	16.27	-1.49	6.97	5.50	14.51	284	6%
1.2	0.12	15.26	-2.03	6.88	5.21	15.69	309	6%
1.2	0.16	14.10	-2.16	6.66	5.22	17.27	353	5%
1.2	0.2	12.19	-2.44	6.29	5.36	14.19	498	4%
1.2	0.24	10.65	-2.13	5.97	5.20	11.29	576	4%
1.2	0.32	7.70	-1.73	4.68	5.50	4.81	852	3%
1.2	0.4	6.12	-0.95	3.64	4.64	0.91	955	3%
1.2	0.48	7.22	2.93	2.79	3.21	-3.82	1222	3%
1.2	0.56	8.99	3.25	2.86	2.57	-4.18	1014	3%
1.2	0.64	10.82	3.36	2.72	2.19	-4.22	771	4%
1.2	0.72	13.14	3.24	2.37	1.71	-3.83	660	4%
1.2	0.8	14.78	3.01	1.81	1.47	-2.59	401	5%
1.2	0.88	15.92	2.85	1.47	1.22	-1.47	387	5%
1.2	0.92	16.59	2.68	1.20	1.14	-2.48	165	8%
1.2	0.96	16.78	2.65	1.02	0.94	-0.98	189	7%
1.2	1	17.27	2.60	0.89	0.84	-0.19	281	6%
1.2	1.04	17.65	2.57	0.78	0.78	-0.47	241	6%
1.2	1.12	17.94	2.38	0.73	0.68	-0.13	296	6%
1.2	1.2	18.67	2.24	0.67	0.58	-0.03	78	11%
1.4	0	13.71	0.10	5.18	4.18	-1.65	708	4%
1.4	0.02	13.62	-0.03	5.20	4.14	-0.79	679	4%
1.4	0.04	13.72	-0.25	5.24	4.06	0.82	751	4%
1.4	0.06	13.66	-0.35	5.15	4.12	-0.23	713	4%
1.4	0.08	13.46	-0.55	5.10	4.22	2.75	542	4%
1.4	0.12	13.08	-0.80	4.96	4.15	5.53	506	4%
1.4	0.16	12.28	-0.87	4.89	4.10	3.95	900	3%
1.4	0.2	11.80	-1.22	4.77	3.95	5.72	717	4%
1.4	0.24	11.11	-1.42	4.42	4.10	5.04	1033	3%
1.4	0.32	9.62	-1.33	3.89	3.92	2.63	1002	3%
1.4	0.4	8.55	0.31	2.84	3.86	-0.04	1566	3%
1.4	0.48	9.09	2.10	2.45	2.79	-2.51	1587	3%
1.4	0.56	9.98	1.82	2.60	2.68	-3.85	1240	3%
1.4	0.64	11.58	1.88	2.78	2.48	-5.32	925	3%
1.4	0.72	13.75	2.23	2.26	1.68	-2.56	1045	3%
1.4	0.8	15.28	2.04	2.06	1.53	-3.03	398	5%
1.4	0.88	16.59	1.95	1.49	1.19	-2.74	401	5%
1.4	0.92	17.22	1.85	1.29	1.13	-2.11	495	4%
1.4	0.96	17.63	1.87	1.06	1.03	-1.74	375	5%
1.4	1	17.85	1.81	1.03	0.97	-1.17	486	5%
1.4	1.04	18.14	1.80	0.88	0.84	-0.24	293	6%
1.4	1.12	18.70	1.66	0.71	0.69	-0.39	422	5%
1.4	1.2	19.21	1.60	0.68	0.65	-0.06	355	5%
1.8	0	11.91	-0.02	2.81	2.57	0.09	961	3%
1.8	0.02	11.95	-0.15	2.85	2.56	-0.20	855	3%
1.8	0.04	11.86	-0.17	2.78	2.57	0.17	937	3%
1.8	0.06	11.76	-0.13	2.76	2.59	0.69	833	3%
1.8	0.08	11.76	-0.27	2.75	2.57	0.41	969	3%
1.8	0.12	11.79	-0.32	2.75	2.63	0.68	944	3%
1.8	0.16	11.70	-0.45	2.67	2.60	0.58	923	3%
1.8	0.2	11.58	-0.53	2.55	2.63	0.21	974	3%
1.8	0.24	11.49	-0.57	2.52	2.65	0.39	676	4%
1.8	0.32	11.36	-0.55	2.36	2.68	-0.16	1020	3%
1.8	0.4	11.52	0.42	2.22	2.70	-1.10	828	3%
1.8	0.48	12.26	0.82	2.20	2.57	-2.31	728	4%
1.8	0.56	13.19	1.07	2.31	2.31	-3.02	692	4%
1.8	0.64	14.04	0.89	2.45	2.20	-2.79	626	4%
1.8	0.72	15.40	0.97	2.27	1.91	-3.99	453	5%
1.8	0.8	16.30	0.89	2.11	1.73	-3.19	520	4%
1.8	0.88	17.20	0.84	1.87	1.53	-6.51	131	9%
1.8	0.92	17.53	0.70	1.89	1.55	-4.21	252	6%
1.8	0.96	17.86	0.64	1.66	1.53	-5.05	124	9%
1.8	1	18.32	0.88	1.05	0.92	-1.81	112	9%
1.8	1.04	18.49	0.72	1.15	1.20	-1.93	129	9%
1.8	1.12	18.91	0.75	0.76	0.74	-0.14	230	7%
1.8	1.2	19.15	0.71	0.73	0.80	-0.38	120	9%
2.4	0	13.05	-0.14	1.77	1.97	0.06	389	5%
2.4	0.02	13.08	-0.15	1.76	1.89	0.06	650	4%
2.4	0.04	12.98	-0.20	1.78	1.93	0.13	926	3%
2.4	0.06	13.06	-0.16	1.77	1.93	-0.13	739	4%
2.4	0.08	12.99	-0.18	1.76	1.88	0.22	392	5%
2.4	0.12	13.03	-0.29	1.82	1.92	-0.08	648	4%
2.4	0.16	13.01	-0.43	1.84	1.96	-0.13	666	4%
2.4	0.2	13.02	-0.40	1.84	1.94	-0.27	637	4%
2.4	0.24	13.04	-0.54	1.90	1.99	-0.26	491	5%
2.4	0.32	13.20	-0.69	1.95	2.03	-0.18	554	4%
2.4	0.4	13.34	-0.86	2.01	2.07	-0.23	642	4%
2.4	0.48	13.59	-0.92	2.06	2.17	-0.75	517	4%
2.4	0.56	14.34	-0.25	2.17	2.30	-2.11	766	4%
2.4	0.64	15.37	0.43	2.03	1.89	-2.18	461	5%
2.4	0.72	16.07	0.36	1.96	1.74	-2.06	515	4%
2.4	0.8	16.86	0.42	1.68	1.37	-1.14	715	4%
2.4	0.88	17.28	0.32	1.62	1.30	-1.46	543	4%
2.4	0.92	17.62	0.34	1.56	1.23	-1.64	428	5%
2.4	0.96	18.00	0.30	1.35	1.09	-1.02	462	5%
2.4	1	18.22	0.24	1.24	1.62	-1.39	204	7%
2.4	1.04	18.33	0.30	1.25	1.00	-0.26	478	5%
2.4	1.12	18.77	0.18	1.01	0.89	-0.48	163	8%
2.4	1.2	19.17	0.16	0.85	0.79	-0.25	305	6%
3.4	0	14.49	0.74	1.61	1.67	-0.53	473	5%
3.4	0.02	14.42	0.31	1.60	1.62	-0.07	248	6%
3.4	0.04	14.58	0.73	1.59	1.68	-0.26	467	5%
3.4	0.06	14.52	0.59	1.58	1.64	-0.31	509	4%
3.4	0.08	14.58	0.43	1.61	1.61	-0.18	532	4%
3.4	0.12	14.74	0.71	1.61	1.56	-0.28	597	4%
3.4	0.16	14.83	0.69	1.65	1.57	-0.43	319	6%
3.4	0.2	14.70	0.50	1.58	1.46	-0.39	536	4%
3.4	0.24	14.84	0.53	1.59	1.51	-0.55	283	6%
3.4	0.32	14.86	0.27	1.60	1.42	-0.36	514	4%
3.4	0.4	15.02	0.29	1.55	1.32	-0.39	501	4%
3.4	0.48	15.04	-0.04	1.56	1.45	-0.54	220	7%
3.4	0.56	15.39	0.13	1.51	1.23	-0.65	551	4%
3.4	0.64	15.88	0.11	1.53	1.16	-0.70	437	5%
3.4	0.72	16.40	0.16	1.49	1.03	-0.70	402	5%
3.4	0.8	16.98	0.11	1.46	0.95	-0.74	327	6%
3.4	0.88	17.41	0.05	1.36	0.90	-0.54	558	4%
3.4	0.92	17.75	0.05	1.22	0.83	-0.36	335	5%
3.4	0.96	17.90	0.02	1.16	0.78	-0.31	277	6%
3.4	1	18.23	0.03	1.02	0.71	-0.29	433	5%
3.4	1.04	18.42	0.01	0.99	0.75	-0.28	360	5%
3.4	1.12	18.80	-0.01	0.91	0.69	-0.17	457	5%
3.4	1.2	18.99	-0.01	0.80	0.60	-0.04	299	6%
4.4	0	15.44	0.08	1.59	1.50	0.05	405	5%
4.4	0.04	15.35	-0.05	1.56	1.53	0.08	338	5%
4.4	0.08	15.35	-0.07	1.57	1.49	0.34	296	6%
4.4	0.12	15.36	0.15	1.56	1.49	-0.25	239	6%
4.4	0.16	15.52	0.27	1.59	1.51	-0.24	417	5%
4.4	0.24	15.74	0.50	1.58	1.44	-0.48	391	5%
4.4	0.32	15.83	0.46	1.57	1.43	-0.28	411	5%
4.4	0.4	15.90	0.33	1.54	1.40	-0.42	529	4%
4.4	0.48	16.09	0.34	1.61	1.37	-0.40	335	5%
4.4	0.56	16.18	0.37	1.64	1.34	-0.77	403	5%
4.4	0.64	16.42	0.23	1.59	1.29	-0.67	289	6%
4.4	0.72	16.77	0.25	1.66	1.31	-0.85	295	6%
4.4	0.8	17.02	0.21	1.66	1.23	-0.71	366	5%
4.4	0.88	17.34	0.12	1.70	1.20	-0.84	340	5%
4.4	0.92	17.55	0.16	1.66	1.12	-0.75	223	7%
4.4	0.96	17.96	0.11	1.60	1.10	-0.94	289	6%
4.4	1	17.97	0.12	1.59	1.10	-0.54	381	5%
4.4	1.04	18.21	0.06	1.58	1.17	-0.54	200	7%
4.4	1.12	18.57	0.02	1.47	1.05	-0.51	448	5%
4.4	1.2	18.84	-0.06	1.46	1.10	-0.32	214	7%
5.2	0	15.76	-0.07	1.63	1.34	0.08	295	6%
5.2	0.04	15.83	-0.01	1.62	1.38	-0.07	345	5%
5.2	0.08	15.79	0.44	1.56	1.37	-0.27	435	5%
5.2	0.12	15.90	0.25	1.57	1.40	-0.26	176	8%
5.2	0.16	15.88	0.29	1.57	1.39	-0.18	372	5%
5.2	0.24	15.99	0.44	1.61	1.34	-0.27	512	4%
5.2	0.32	16.04	0.39	1.58	1.35	-0.34	483	5%
5.2	0.4	16.15	0.34	1.66	1.34	-0.42	422	5%
5.2	0.48	16.26	0.24	1.61	1.40	-0.55	311	6%
5.2	0.56	16.39	0.23	1.61	1.26	-0.42	464	5%
5.2	0.64	16.65	0.26	1.65	1.28	-0.45	455	5%
5.2	0.72	16.84	0.17	1.68	1.27	-0.92	334	5%
5.2	0.8	16.99	0.08	1.67	1.18	-0.74	395	5%
5.2	0.88	17.55	0.15	1.62	2.15	-0.60	436	5%
5.2	0.92	17.31	0.06	1.71	1.25	-0.92	330	6%
5.2	0.96	17.66	0.14	1.71	1.20	-0.65	434	5%
5.2	1	17.79	0.06	1.71	1.22	-0.70	259	6%
5.2	1.04	18.08	0.08	1.68	1.77	-0.66	381	5%
5.2	1.12	18.39	0.10	1.56	1.11	-0.41	344	5%
5.2	1.2	18.56	-0.07	1.53	1.09	-0.66	195	7%
