 Flowfield data for bluff-body stabilised turbulent non-reacting flows
 Burner bluff-body diameter, D_b=50mm, (R_b=25mm), jet diameter=3.6mm

 Flow code: B4C1, Jet gas: Air,  Coflow = 20m/s, 
 Case A : Bulk Jet Velocity: 61 m/s

 Data set 1: 1995 (Total:three data sets)								
 x/D_b       	normalised downstream position
 r/R_b		normalised radial position
 U 		mean axial velocity						
 V 		mean radial velocity						
 rms u		rms axial velocity						
 rms v		rms radial velocity						

      x/D_b     r/R_b      U        rms(u)     V       rms(v)
      0.40      0.96     10.60      3.12      1.35      2.30
      0.40      1.00     14.77      3.12      1.35      1.56
      0.40      1.04     18.93      1.56      1.35      1.25
      0.40      1.12     21.50      1.00      1.35      0.65
      0.40      1.20     22.00      1.00      1.25      0.52
      0.60      0.00     43.90      8.30      0.00      3.64
      0.60      0.08     26.20      8.30     -0.83      3.64
      0.60      0.16     12.70      5.20     -1.35      3.64
      0.60      0.24      2.20      3.12     -0.62      2.60
      0.60      0.32     -5.00      2.60      0.00      2.60
      0.60      0.40     -5.00      1.56     -0.62      1.56
      0.60      0.48     -3.95      2.08     -0.83      1.87
      0.60      0.56     -4.47      2.08     -0.73      2.08
      0.60      0.64     -3.95      3.12     -0.83      2.08
      0.60      0.72      0.73      4.16      0.00      2.60
      0.60      0.80      3.33      3.12      1.04      1.87
      0.60      0.88     10.60      2.60      1.77      2.18
      0.60      0.96     15.80      1.56      1.87      2.29
      0.60      1.00     17.37      1.56      2.18      1.56
      0.60      1.04     20.00      1.56      2.28      1.04
      0.60      1.12     21.50      1.00      1.97      0.73
      0.60      1.20     21.50      1.00      1.87      0.52
      0.80      0.00     33.50      9.36      0.00      3.64
      0.80      0.08     24.10      8.32     -1.25      3.12
      0.80      0.16     12.70      5.20     -1.14      3.74
      0.80      0.24      8.53      4.16     -0.83      3.74
      0.80      0.32     -0.83      4.16     -0.21      2.90
      0.80      0.40     -2.91      2.08      0.00      2.60
      0.80      0.48     -2.91      2.08      0.31      2.18
      0.80      0.56     -1.87      2.60      0.31      2.60
      0.80      0.64      1.25      3.12      1.14      2.60
      0.80      0.72      7.50      2.60      2.18      2.60
      0.80      0.80      8.01      3.10      2.50      2.08
      0.80      0.88     14.77      2.60      3.43      2.08
      0.80      0.96     18.90      1.00      3.00      1.56
      0.80      1.00     19.45      1.56      3.33      1.25
      0.80      1.04     20.50      1.00      3.00      0.83
      0.80      1.12     21.00      1.35      2.50      0.83
      0.80      1.20     21.50      1.00      2.39      0.52
      1.00      0.00     20.00      6.24      0.00      3.64
      1.00      0.08     16.33      7.28     -1.04      3.64
      1.00      0.16      7.50      4.16     -1.04      3.12
      1.00      0.24      4.89      6.24     -1.25      3.12
      1.00      0.32      2.30      1.00     -0.73      3.12
      1.00      0.40      1.25      2.08      0.00      2.60
      1.00      0.48      0.73      2.60      1.35      3.12
      1.00      0.56      5.40      2.60      1.77      2.91
      1.00      0.64      7.50      2.08      2.71      2.18
      1.00      0.72     11.13      2.08      2.81      2.60
      1.00      0.80     13.21      2.60      3.00      2.08
      1.00      0.88     17.90      1.56      3.20      1.56
      1.00      0.96     18.90      1.56      3.20      1.04
      1.00      1.00     19.40      1.00      3.20      1.04
      1.00      1.04     20.00      1.00      2.90      0.83
      1.00      1.12     20.50      1.00      2.70      0.62
      1.00      1.20     20.50      1.00      2.30      0.52
      1.30      0.00     12.70      4.16      0.00      2.60
      1.30      0.08     11.00      3.64      0.10      2.60
      1.30      0.16     10.00      3.12      0.73      2.60
      1.30      0.24      7.50      3.12      1.04      2.60
      1.30      0.32      6.60      1.85      1.14      3.12
      1.30      0.40      6.50      1.90      1.45      2.10
      1.30      0.48      6.97      2.60      2.28      2.10
      1.30      0.56      9.00      3.00      2.28      2.10
      1.30      0.64     12.50      3.12      2.60      2.10
      1.30      0.72     15.30      2.08      2.39      1.87
      1.30      0.80     16.00      2.08      2.49      1.56
      1.30      0.88     17.00      2.08      2.60      1.04
      1.30      0.96     18.90      1.00      2.49      0.83
      1.30      1.00     18.90      2.60      2.28      0.73
      1.30      1.04     19.30      2.60      1.97      0.62
      1.30      1.12     21.00      1.00      1.97      0.52
      1.30      1.20     21.00      1.00      1.77      0.52
