 Flowfield data for bluff-body stabilised turbulent non-reacting flows
 Burner bluff-body diameter, D_b=50mm, (R_b=25mm), jet diameter=3.6mm

 Flow code: B4C1, Jet gas: Air,  Coflow = 20m/s, 
 Case A : Bulk Jet Velocity: 61 m/s

 Data set 3: 15 December 1999 (Total:three data sets)								
0.2	0.48	-2.85	-0.94	2.66	1.74	0.03	1217	2.9%
0.2	0.56	-2.67	-1.25	2.60	1.88	-0.22	1198	2.9%
0.2	0.64	-1.88	-1.40	2.59	1.67	-0.40	1501	2.6%
0.2	0.72	-1.40	-1.45	2.41	1.68	-0.84	1559	2.5%
0.2	0.8	-0.70	-1.40	2.35	1.62	-0.89	1175	2.9%
0.2	0.88	0.09	-1.03	2.33	1.54	-1.05	1517	2.6%
0.2	0.92	1.07	-0.41	2.32	1.89	-1.94	1642	2.5%
0.2	0.96	4.84	0.51	3.01	2.45	-3.40	867	3.4%
0.2	1	10.54	1.36	3.42	2.55	-6.22	629	4.0%
0.2	1.04	16.28	1.46	2.37	1.89	-2.89	332	5.5%
0.2	1.12	18.41	1.17	1.39	1.14	-0.47	419	4.9%
0.2	1.2	20.49	1.05	1.47	1.17	-0.37	62	12.7%
0.4	0	67.29	0.01	10.25	6.15	-3.18	21	21.8%
0.4	0.02	64.72	-0.60	11.25	5.94	15.85	252	6.3%
0.4	0.04	57.39	-1.24	12.79	6.16	19.26	178	7.5%
0.4	0.06	46.65	-1.65	13.45	6.59	33.53	146	8.3%
0.4	0.08	33.30	-1.89	12.53	7.04	40.36	225	6.7%
0.4	0.12	15.13	-1.79	9.86	6.22	34.38	545	4.3%
0.4	0.16	7.82	-1.34	8.46	5.45	16.86	924	3.3%
0.4	0.2	-1.86	0.49	5.87	3.64	5.50	1477	2.6%
0.4	0.24	-4.15	0.58	4.05	2.82	3.15	1378	2.7%
0.4	0.32	-5.72	0.24	2.93	2.26	1.23	1205	2.9%
0.4	0.4	-6.02	-0.06	2.60	2.01	-0.14	1435	2.6%
0.4	0.48	-5.53	-0.70	2.70	2.05	-0.84	1608	2.5%
0.4	0.56	-4.81	-1.20	2.88	2.22	-2.07	1158	2.9%
0.4	0.64	-3.65	-1.54	3.07	2.38	-2.65	1522	2.6%
0.4	0.72	-1.77	-1.43	3.34	2.35	-3.08	1609	2.5%
0.4	0.8	0.73	-0.66	3.15	2.41	-2.89	1757	2.4%
0.4	0.88	5.76	0.95	3.08	2.73	-4.27	1125	3.0%
0.4	0.92	9.22	1.44	3.28	2.73	-5.75	852	3.4%
0.4	0.96	12.51	1.90	3.15	2.46	-5.89	553	4.3%
0.4	1	15.46	2.03	2.54	2.02	-4.41	244	6.4%
0.4	1.04	17.78	2.08	1.58	1.47	-1.14	159	7.9%
0.4	1.12	20.18	1.99	1.27	1.16	-0.21	149	8.2%
0.4	1.2	20.62	1.83	1.07	1.06	-0.08	250	6.3%
0.6	0	49.33	-0.04	11.56	7.39	-9.00	63	12.6%
0.6	0.02	46.73	-1.12	12.16	7.27	2.98	99	10.1%
0.6	0.04	41.06	-1.66	12.67	7.49	38.00	44	15.1%
0.6	0.06	34.86	-1.77	12.64	7.41	98.70	64	12.5%
0.6	0.08	29.02	-2.47	12.29	7.09	42.64	163	7.8%
0.6	0.12	19.66	-1.70	11.43	6.72	45.47	411	4.9%
0.6	0.16	10.89	-1.62	10.26	6.42	32.57	555	4.2%
0.6	0.2	5.38	-1.22	9.28	5.71	17.29	924	3.3%
0.6	0.24	0.24	-0.89	7.35	4.89	9.15	1036	3.1%
0.6	0.32	-6.47	0.21	3.91	3.22	3.02	1260	2.8%
0.6	0.4	-7.19	0.41	2.82	2.81	-0.11	1204	2.9%
0.6	0.48	-7.00	0.27	2.88	2.65	-1.94	1213	2.9%
0.6	0.56	-5.60	0.07	3.31	2.87	-3.66	1200	2.9%
0.6	0.64	-3.04	0.38	4.00	3.06	-5.33	1510	2.6%
0.6	0.72	0.98	0.90	4.21	3.28	-7.08	1454	2.6%
0.6	0.8	5.74	2.01	3.54	2.89	-4.44	853	3.4%
0.6	0.88	9.98	2.74	3.33	2.70	-6.23	802	3.5%
0.6	0.92	12.89	3.03	3.01	2.40	-5.91	379	5.1%
0.6	0.96	15.09	3.36	2.52	1.89	-4.66	257	6.2%
0.6	1	16.88	3.34	2.13	1.60	-2.65	363	5.2%
0.6	1.04	18.55	3.30	1.59	1.35	-1.71	118	9.2%
0.6	1.12	20.15	3.12	1.02	0.98	0.03	151	8.1%
0.6	1.2	20.63	2.79	0.92	0.90	-0.09	273	6.1%
0.8	0	35.44	-0.40	10.70	7.23	-17.77	26	19.6%
0.8	0.02	36.05	-1.03	10.94	6.96	-0.58	87	10.7%
0.8	0.04	35.75	-1.71	10.65	6.94	22.29	70	12.0%
0.8	0.06	33.84	-2.14	10.90	7.14	72.61	31	18.0%
0.8	0.08	29.37	-2.49	10.88	7.12	35.40	113	9.4%
0.8	0.12	22.43	-3.35	10.80	6.61	36.94	406	5.0%
0.8	0.16	15.34	-2.82	10.02	6.94	48.37	357	5.3%
0.8	0.2	9.99	-2.54	9.31	6.72	33.52	415	4.9%
0.8	0.24	4.24	-1.50	8.33	5.96	14.75	821	3.5%
0.8	0.32	-3.68	0.63	5.17	4.41	4.04	1343	2.7%
0.8	0.4	-5.44	1.04	3.28	3.57	-0.13	1273	2.8%
0.8	0.48	-4.74	1.35	3.32	3.43	-3.62	1160	2.9%
0.8	0.56	-2.80	1.82	3.98	3.55	-6.26	1327	2.7%
0.8	0.64	1.92	3.27	4.26	3.11	-6.05	1025	3.1%
0.8	0.72	5.91	3.92	3.69	2.69	-5.12	1052	3.1%
0.8	0.8	9.94	4.15	3.18	2.64	-8.33	521	4.4%
0.8	0.88	13.46	4.44	2.81	2.11	-6.26	379	5.1%
0.8	0.92	15.51	4.48	2.32	1.76	-3.69	289	5.9%
0.8	0.96	17.13	4.38	1.74	1.40	-2.04	150	8.2%
0.8	1	18.11	4.27	1.48	1.31	-2.66	108	9.6%
0.8	1.04	19.04	3.95	1.01	0.92	-0.62	253	6.3%
0.8	1.12	19.74	3.65	0.84	0.77	-0.01	156	8.0%
0.8	1.2	20.01	3.30	0.81	0.70	-0.01	88	10.7%
1	0	22.80	-0.55	9.67	6.36	-13.14	232	6.6%
1	0.02	22.97	-1.27	9.61	6.70	-0.96	109	9.6%
1	0.04	23.62	-1.70	9.23	6.64	5.02	176	7.5%
1	0.06	24.07	-2.40	9.09	6.61	14.61	86	10.8%
1	0.08	22.28	-2.39	9.24	6.58	11.72	156	8.0%
1	0.12	19.14	-2.78	8.87	6.73	42.34	172	7.6%
1	0.16	16.29	-3.39	8.36	6.44	33.53	385	5.1%
1	0.2	12.54	-3.99	7.94	6.39	27.75	457	4.7%
1	0.24	8.99	-2.79	7.57	6.39	24.35	621	4.0%
1	0.32	1.48	0.05	5.10	5.19	5.06	948	3.2%
1	0.4	-0.27	1.60	3.43	4.19	-1.17	1252	2.8%
1	0.48	0.73	2.55	3.33	3.49	-3.81	1177	2.9%
1	0.56	3.37	3.41	3.53	3.13	-4.93	904	3.3%
1	0.64	5.98	3.70	3.43	2.96	-6.09	741	3.7%
1	0.72	9.29	4.12	3.12	2.48	-5.50	631	4.0%
1	0.8	12.24	4.05	2.63	1.99	-4.33	390	5.1%
1	0.88	15.16	4.08	2.09	1.55	-2.42	240	6.5%
1	0.92	16.25	3.96	1.80	1.36	-3.87	203	7.0%
1	0.96	17.31	3.88	1.27	1.11	-0.38	211	6.9%
1	1	17.99	3.71	1.06	0.88	-0.29	173	7.6%
1	1.04	18.53	3.55	0.92	0.90	-0.44	118	9.2%
1	1.12	19.08	3.32	0.76	0.70	0.00	151	8.1%
1	1.2	19.56	3.01	0.74	0.68	-0.14	167	7.7%
1.2	0	15.86	-0.28	7.10	5.18	-10.79	334	5.5%
1.2	0.02	16.37	-0.57	7.10	5.08	-5.00	236	6.5%
1.2	0.04	16.80	-1.20	7.23	5.23	-5.40	407	5.0%
1.2	0.06	16.57	-1.85	6.92	5.32	1.93	405	5.0%
1.2	0.08	16.72	-2.10	6.93	5.46	3.50	227	6.6%
1.2	0.12	15.15	-2.51	6.72	5.42	6.37	319	5.6%
1.2	0.16	14.35	-2.85	6.62	5.44	16.57	413	4.9%
1.2	0.2	12.79	-2.85	6.25	5.39	17.25	412	4.9%
1.2	0.24	10.70	-2.36	5.87	5.42	13.98	509	4.4%
1.2	0.32	7.27	-1.80	4.64	5.26	5.74	784	3.6%
1.2	0.4	5.31	1.15	3.14	4.04	-0.31	884	3.4%
1.2	0.48	5.85	2.05	2.84	3.48	-3.09	840	3.5%
1.2	0.56	7.33	2.27	3.05	3.00	-4.42	847	3.4%
1.2	0.64	9.63	2.72	3.03	2.62	-4.79	644	3.9%
1.2	0.72	11.97	2.81	2.90	2.12	-4.81	536	4.3%
1.2	0.8	14.33	2.91	2.28	1.65	-6.52	152	8.1%
1.2	0.88	16.28	2.79	1.60	1.30	-2.11	145	8.3%
1.2	0.92	16.98	2.77	1.39	1.04	-1.15	117	9.2%
1.2	0.96	17.57	2.75	1.08	1.08	-0.95	215	6.8%
1.2	1	17.96	2.66	0.97	0.93	-0.14	217	6.8%
1.2	1.04	18.34	2.55	0.82	0.88	-0.19	163	7.8%
1.2	1.12	18.78	2.49	0.73	0.72	-0.09	103	9.9%
1.2	1.2	19.32	2.32	0.68	0.66	-0.11	86	10.8%
1.4	0	12.74	0.08	5.17	4.01	-3.93	305	5.7%
1.4	0.02	12.73	-0.32	5.20	3.84	-5.03	356	5.3%
1.4	0.04	13.14	-0.45	5.23	4.07	-2.64	270	6.1%
1.4	0.06	13.05	-0.56	5.23	4.15	-3.33	213	6.9%
1.4	0.08	13.40	-0.74	5.31	4.13	0.26	312	5.7%
1.4	0.12	13.40	-0.77	5.17	4.20	2.63	312	5.7%
1.4	0.16	13.08	-1.39	5.20	4.17	2.42	286	5.9%
1.4	0.2	12.58	-1.48	4.90	4.26	4.98	270	6.1%
1.4	0.24	10.81	-0.74	4.44	4.17	5.60	380	5.1%
1.4	0.32	9.49	0.11	3.71	4.06	1.90	566	4.2%
1.4	0.4	8.62	0.89	2.89	3.69	-0.78	622	4.0%
1.4	0.48	8.76	1.29	2.68	3.44	-1.98	490	4.5%
1.4	0.56	9.67	1.87	2.69	2.75	-3.24	589	4.1%
1.4	0.64	11.13	2.03	2.79	2.53	-4.39	406	5.0%
1.4	0.72	13.00	1.95	2.69	2.19	-4.54	223	6.7%
1.4	0.8	14.95	1.86	2.34	1.70	-3.73	181	7.4%
1.4	0.88	16.33	1.93	1.91	1.48	-3.66	94	10.3%
1.4	0.92	17.09	1.88	1.52	1.40	-1.29	178	7.5%
1.4	0.96	17.66	1.87	1.30	1.22	-2.35	81	11.1%
1.4	1	18.05	1.81	1.16	1.08	-1.47	153	8.1%
1.4	1.04	18.44	1.83	1.00	0.97	-1.02	194	7.2%
1.4	1.12	18.84	1.78	0.80	0.84	-0.64	125	8.9%
1.4	1.2	19.35	1.78	0.67	0.68	-0.13	68	12.1%
1.8	0	11.54	-0.11	2.64	2.45	-0.15	413	4.9%
1.8	0.02	11.57	-0.19	2.63	2.45	-0.10	296	5.8%
1.8	0.04	11.69	-0.50	2.70	2.42	-0.01	520	4.4%
1.8	0.06	11.70	-0.64	2.74	2.54	-0.23	435	4.8%
1.8	0.08	11.91	-0.56	2.76	2.56	-0.63	531	4.3%
1.8	0.12	11.86	-0.66	2.80	2.57	0.26	251	6.3%
1.8	0.16	11.51	0.35	2.54	2.83	-0.31	405	5.0%
1.8	0.2	11.51	0.13	2.53	2.77	0.31	315	5.6%
1.8	0.24	11.41	0.29	2.38	2.67	-0.28	314	5.6%
1.8	0.32	11.52	0.54	2.28	2.70	-1.03	382	5.1%
1.8	0.4	11.59	0.64	2.22	2.77	-1.87	261	6.2%
1.8	0.48	12.23	0.75	2.28	2.61	-2.58	345	5.4%
1.8	0.56	12.80	0.80	2.40	2.45	-3.29	262	6.2%
1.8	0.64	14.08	0.84	2.44	2.16	-2.69	254	6.3%
1.8	0.72	15.30	0.96	2.42	1.90	-4.55	126	8.9%
1.8	0.8	16.63	0.87	2.27	1.80	-3.27	146	8.3%
1.8	0.88	17.90	0.82	1.73	1.37	-2.85	137	8.5%
1.8	0.92	18.30	0.75	1.66	1.37	-2.42	219	6.8%
1.8	0.96	18.60	0.83	1.47	1.19	-0.91	154	8.1%
1.8	1	18.90	0.75	1.26	1.08	-1.78	73	11.7%
1.8	1.04	19.21	0.78	1.07	0.93	-0.22	119	9.2%
1.8	1.12	19.60	0.79	0.77	0.87	-0.06	70	12.0%
1.8	1.2	19.87	0.78	0.70	0.75	-0.08	126	8.9%
2.4	0	13.04	0.35	1.75	2.01	-0.47	429	4.8%
2.4	0.02	13.05	0.49	1.78	2.00	-0.59	325	5.5%
2.4	0.04	13.05	0.39	1.74	2.05	-0.30	390	5.1%
2.4	0.06	13.03	0.42	1.74	1.95	-0.86	252	6.3%
2.4	0.08	12.99	0.39	1.72	1.93	-0.52	383	5.1%
2.4	0.12	13.24	0.61	1.81	2.05	-0.53	253	6.3%
2.4	0.16	13.06	0.22	1.82	2.04	-0.60	657	3.9%
2.4	0.2	13.17	0.24	1.80	2.05	-0.86	460	4.7%
2.4	0.24	13.38	0.41	1.85	2.07	-1.11	415	4.9%
2.4	0.32	13.59	0.52	1.90	2.07	-1.41	570	4.2%
2.4	0.4	13.78	0.34	1.96	2.05	-1.51	551	4.3%
2.4	0.48	14.29	0.46	2.06	2.08	-1.92	451	4.7%
2.4	0.56	14.78	0.39	2.17	1.99	-2.02	379	5.1%
2.4	0.64	15.67	0.44	2.23	1.86	-2.24	518	4.4%
2.4	0.72	16.55	0.41	2.34	1.85	-2.52	424	4.9%
2.4	0.8	17.20	0.36	2.34	1.72	-2.02	643	3.9%
2.4	0.88	18.54	0.40	1.71	1.41	-1.32	318	5.6%
2.4	0.92	18.86	0.42	1.64	1.26	-0.74	172	7.6%
2.4	0.96	19.18	0.35	1.43	1.22	-0.64	162	7.9%
2.4	1	19.44	0.40	1.31	1.02	-0.64	331	5.5%
2.4	1.04	19.57	0.32	1.42	1.17	-0.70	306	5.7%
2.4	1.12	20.03	0.31	1.07	0.91	-0.52	371	5.2%
2.4	1.2	20.25	0.30	0.85	0.81	-0.20	324	5.6%
3.4	0	15.09	0.68	1.70	1.72	-0.36	269	6.1%
3.4	0.04	15.09	0.70	1.71	1.77	-0.53	250	6.3%
3.4	0.08	15.05	0.60	1.72	1.70	-0.61	173	7.6%
3.4	0.12	15.15	0.67	1.77	1.67	-0.61	430	4.8%
3.4	0.16	15.13	0.53	1.77	1.80	-0.89	403	5.0%
3.4	0.24	15.08	0.47	1.72	1.63	-0.60	342	5.4%
3.4	0.32	15.32	0.41	1.81	1.72	-0.58	275	6.0%
3.4	0.4	15.53	0.41	1.88	1.75	-0.99	394	5.0%
3.4	0.48	15.57	0.08	1.88	1.77	-1.00	509	4.4%
3.4	0.56	15.91	0.24	1.95	1.73	-1.21	318	5.6%
3.4	0.64	16.42	0.35	2.12	1.69	-1.75	383	5.1%
3.4	0.72	16.97	0.23	2.09	1.61	-1.64	321	5.6%
3.4	0.8	17.42	0.16	2.19	1.66	-2.00	442	4.8%
3.4	0.88	18.30	0.24	2.05	1.37	-1.29	293	5.8%
3.4	0.92	18.63	0.22	1.94	1.42	-1.64	279	6.0%
3.4	0.96	19.03	0.23	1.81	1.28	-1.02	444	4.7%
3.4	1	19.36	0.19	1.66	1.18	-1.02	257	6.2%
3.4	1.04	19.48	0.25	1.63	1.26	-0.41	132	8.7%
3.4	1.12	19.82	0.12	1.49	1.19	-0.32	289	5.9%
3.4	1.2	20.10	0.10	1.28	1.13	-0.49	494	4.5%
4.4	0	16.00	0.53	1.71	1.64	-0.45	123	9.0%
4.4	0.04	16.11	0.45	1.72	1.56	-0.88	75	11.5%
4.4	0.08	15.99	0.31	1.67	1.55	-0.34	111	9.5%
4.4	0.12	16.08	0.52	1.68	1.53	-0.18	156	8.0%
4.4	0.16	16.14	0.49	1.71	1.48	-0.24	141	8.4%
4.4	0.24	16.15	0.46	1.69	1.56	-0.64	168	7.7%
4.4	0.32	16.25	0.22	1.73	1.62	-0.76	149	8.2%
4.4	0.4	16.00	-0.02	1.77	1.54	-0.43	361	5.3%
4.4	0.48	16.51	0.36	1.79	1.52	-0.60	165	7.8%
4.4	0.56	16.80	0.40	1.86	1.57	-0.85	187	7.3%
4.4	0.64	17.15	0.35	1.91	1.50	-1.29	356	5.3%
4.4	0.72	17.35	0.27	1.98	1.53	-1.43	383	5.1%
4.4	0.8	17.89	0.28	1.97	1.48	-1.23	253	6.3%
4.4	0.88	18.14	0.10	2.02	1.51	-1.12	285	5.9%
4.4	0.92	18.79	0.34	1.89	1.32	-1.23	248	6.4%
4.4	0.96	18.74	0.23	1.85	1.33	-0.90	246	6.4%
4.4	1	18.94	0.19	1.92	1.32	-1.09	291	5.9%
4.4	1.04	19.18	0.14	1.81	1.40	-0.76	208	6.9%
4.4	1.12	19.48	0.11	1.76	1.34	-1.02	268	6.1%
4.4	1.2	19.82	0.10	1.51	1.24	-0.18	276	6.0%
